01Polished Nails         00136     03102019
029 Inch Nails           00012     03102019
039 Inch Screws          01690     03102019
04Wood Glue              01369     03102019
05Mahogany Plank         13697     03102019
10Oak Plank              10653     03102019
12Birch Plank            07609     03102019
15Spruce Plank           04565     03102019
20Hammer                 00276     03102019
25Mallet                 00416     03102019
42Socket Wrench          00034     03102019
50Monkey Wrench          00239     03102019
60Allen Wrench           00349     03102019
75Drill Press            06856     03102019
803 Inch PVC Coupling    05919     03102019
993 Way PVC Connector    07778     03102019
171 Foot PVC Pipe        13528     03102019
213 Foot PVC Pipe        10808     03102019
222 Part PVC Apoxy       01409     03102019
81Band Saw               07735     03102019
64Hand Saw               11498     03102019
32Table Saw              12223     03102019
44Power Saw              04094     03102019
65Water Bottle           00013     03102019
85Balsa Wood Plank       00001     03102019
